name,r_p,gain,cover_call,opponent
"18 01 HARVARD DEF vs USD OFF NEW, Play 001",P,18,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 002",R,2,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 003",R,7,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 004",R,-3,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 005",R,-4,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 006",P,0,FREEDOM,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 007",P,0,WEASEL,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 008",P,0,PYTHON,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 009",R,11,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 010",P,68,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 011",R,1,TORO,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 012",P,0,SALUTE,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 013",P,16,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 014",P,10,PYTHON,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 015",R,1,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 016",R,7,PYTHON,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 017",P,0,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 018",P,0,FREEDOM,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 019",P,28,RATTLER,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 020",R,2,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 021",P,0,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 022",P,12,COKE,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 023",P,0,TORO,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 024",R,1,RATTLER,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 025",P,0,SALUTE,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 026",P,0,WEASEL,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 027",R,17,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 028",P,11,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 029",P,7,TORO,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 030",R,17,PYTHON,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 031",P,-7,FREEDOM,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 032",P,0,PYTHON,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 034",P,7,12,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 035",R,3,TORO,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 036",P,11,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 037",P,7,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 038",R,2,PYTHON,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 039",R,2,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 041",P,45,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 042",P,2,TORO,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 043",P,0,PYTHON,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 044",P,0,COKE,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 045",R,2,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 046",R,4,RATTLER,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 047",P,4,FREEDOM,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 048",P,19,FLANK,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 049",R,4,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 050",P,0,PYTHON,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 051",P,1,SALUTE,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 052",P,37,TORO,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 053",R,0,TORO,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 054",R,13,PYTHON,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 055",R,3,FREEDOM,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 056",P,0,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 057",P,0,TORO,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 058",P,0,SALUTE,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 059",P,30,TORO,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 060",P,7,DOME,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 061",P,6,TORO,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 062",P,0,TORO,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 063",R,0,FREEDOM,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 064",P,0,BLADE,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 065",P,0,COKE,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 066",P,3,RATTLER,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 067",P,11,FREEDOM,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 068",P,7,FREEDOM,University of San Diego
