name,r_p,gain,cover_call,quarter,down,dist,line,line_type,play_note,action,opponent
"18 01 HARVARD DEF vs USD OFF NEW, Play 001",P,18,DOME,1,1,10,DUAL,2X2,QP,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 002",R,2,DOME,1,1,10,PRO,2X1,OZ,GRIND,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 003",R,7,DOME,1,2,8,DOS,2X2,SPEED,BASH,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 004",R,-3,DOME,1,3,1,TWINS,3X1 NUB,SPEED,BASH,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 005",R,-4,DOME,1,1,8,TWINS,3X1 NUB,OZ,GRIND,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 006",P,0,FREEDOM,1,2,12,TRIPS,3X2,QP,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 007",P,0,WEASEL,1,3,12,TRIPS,3X1,DB,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 008",P,0,PYTHON,1,1,10,TWINS,3X2,QP,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 009",R,11,DOME,1,2,10,TRIPS,3X1,OZ,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 010",P,68,DOME,1,1,10,TWINS,3X1 NUB,PAP,ZONE GRAB FS,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 011",R,1,TORO,1,2,10,DOS,2X2,OZ,GRIND,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 012",P,0,SALUTE,1,3,9,TRIPS,3X1,DB,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 013",P,16,DOME,1,1,10,TWINS,3X1 NUB,ROLL,ZONE HAT,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 014",P,10,PYTHON,1,1,10,TRIPS,3X1,DB,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 015",R,1,DOME,1,1,10,PRO,BUNCH,ORBIT,ZONE SPLIT,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 016",R,7,PYTHON,1,2,9,PRO WING,2X1,OZ,LEAD GRIND,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 017",P,0,DOME,1,3,2,PRO,BUNCH,QP,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 018",P,0,FREEDOM,1,1,10,DEUCE,2X2,PAP,ZONE GRIND FS,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 019",P,28,RATTLER,1,1,10,TRIPS,3X1,QP,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 020",R,2,DOME,1,1,10,PRO,2X1,OZ,LEAD GRIND,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 021",P,0,DOME,1,2,8,TWINS,3X2,QP,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 022",P,12,COKE,1,3,8,TREY,3X1,DB,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 023",P,0,TORO,2,1,10,DUPE,2X2,PAP,ZONE GRIND FS,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 024",R,1,RATTLER,2,2,10,DEUCE,2X2,POWER,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 025",P,0,SALUTE,2,3,9,DEUCE,2X2,DB,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 026",P,0,WEASEL,2,4,9,TRIPS,3X1,DB,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 027",R,17,DOME,2,1,10,SPREAD,SPREAD,GAP,READ,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 028",P,11,DOME,2,1,10,PRO,3X1,PAP,POWER,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 029",P,7,TORO,2,1,10,PRO,2X1,DB,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 030",R,17,PYTHON,2,2,3,TWINS,3X1 NUB,OZ,GRIND,University of San Diego
